Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
ZCTA5 33913,9244,115281
ZCTA5 33914,16168,89483
ZCTA5 33916,9000,55854
ZCTA5 33917,13204,61795
ZCTA5 33919,14049,79442
ZCTA5 33920,2288,96870
ZCTA5 33921,416,102991
ZCTA5 33922,1674,76232
ZCTA5 33924,31,49152
ZCTA5 33928,11815,110250
ZCTA5 33930,288,70400
ZCTA5 33931,5537,102705
ZCTA5 33935,7109,57877
ZCTA5 33936,8319,53951
ZCTA5 33944,138,N
ZCTA5 33945,6,N
ZCTA5 33946,1256,130824
ZCTA5 33947,4401,73148
ZCTA5 33948,7315,63949
ZCTA5 33950,11367,88253
ZCTA5 33952,14495,59248
ZCTA5 33953,2809,84640
ZCTA5 33954,3777,83033
ZCTA5 33955,4562,90651
ZCTA5 33956,1737,97188
ZCTA5 33957,3919,167697
ZCTA5 33960,278,43781
ZCTA5 33965,0,-
ZCTA5 33966,4263,108472
ZCTA5 33967,8494,89911
ZCTA5 33971,7446,67366
ZCTA5 33972,4423,69137
ZCTA5 33973,4025,51461
ZCTA5 33974,4909,61541
ZCTA5 33976,4541,61557
ZCTA5 33980,6101,65373
ZCTA5 33981,5027,65483
ZCTA5 33982,4187,67113
ZCTA5 33983,6232,79599
ZCTA5 33990,12337,75102
ZCTA5 33991,8620,80135
ZCTA5 33993,9249,90599
ZCTA5 34101,0,-
ZCTA5 34102,5743,194000
ZCTA5 34103,5828,209458
ZCTA5 34104,10404,73659
ZCTA5 34105,7233,156598
ZCTA5 34108,8196,175941
ZCTA5 34109,11515,120354
ZCTA5 34110,11904,129106
ZCTA5 34112,12986,81317
ZCTA5 34113,8811,90294
ZCTA5 34114,7829,91234
ZCTA5 34116,9666,70161
ZCTA5 34117,5396,86566
ZCTA5 34119,13192,130076
ZCTA5 34120,11617,99886
ZCTA5 34134,7772,184431
ZCTA5 34135,20275,92304
ZCTA5 34137,93,36967
ZCTA5 34138,367,83301
ZCTA5 34139,122,78034
ZCTA5 34140,70,N
ZCTA5 34141,12,N
ZCTA5 34142,7532,55095
ZCTA5 34145,9056,140015
ZCTA5 34201,1666,149449
ZCTA5 34202,8812,147164
ZCTA5 34203,15615,82920
ZCTA5 34205,12775,60244
ZCTA5 34207,14983,50838
ZCTA5 34208,13429,67921
ZCTA5 34209,14763,96404
ZCTA5 34210,7293,78055
ZCTA5 34211,3972,138759
ZCTA5 34212,7735,111624
ZCTA5 34215,299,72132
ZCTA5 34216,607,107119
ZCTA5 34217,2875,120929
ZCTA5 34219,8600,104136
ZCTA5 34221,17455,76593
ZCTA5 34222,5286,68342
ZCTA5 34223,9666,82707
ZCTA5 34224,7631,59174
ZCTA5 34228,3939,184056
ZCTA5 34229,3487,128969
ZCTA5 34231,15116,85540
ZCTA5 34232,14386,88156
ZCTA5 34233,8160,86186
ZCTA5 34234,8646,57462
ZCTA5 34235,6502,84609
ZCTA5 34236,7652,138770
ZCTA5 34237,7283,67062
ZCTA5 34238,10385,113181
ZCTA5 34239,6978,94963
ZCTA5 34240,4393,139913
ZCTA5 34241,5870,103543
ZCTA5 34242,3939,181125
ZCTA5 34243,12873,81244
ZCTA5 34251,2151,92913
ZCTA5 34266,10112,45752
ZCTA5 34268,114,24056
ZCTA5 34269,2195,55915
ZCTA5 34275,9529,132799
ZCTA5 34285,9832,89199
ZCTA5 34286,6801,82792
ZCTA5 34287,11295,70627
ZCTA5 34288,4560,108257
ZCTA5 34289,1238,104028
ZCTA5 34291,2332,72264
ZCTA5 34292,7747,90673
ZCTA5 34293,20250,94445
ZCTA5 34420,7122,56627
ZCTA5 34428,4057,56361
ZCTA5 34429,3928,78340
ZCTA5 34431,3713,49386
ZCTA5 34432,5672,56695
ZCTA5 34433,2913,67637
ZCTA5 34434,3121,55815
ZCTA5 34436,3821,66321
ZCTA5 34442,7327,68733
