Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
ZCTA5 19343,2635,156413
ZCTA5 19344,4433,87273
ZCTA5 19345,0,-
ZCTA5 19348,8940,143491
ZCTA5 19350,4136,178426
ZCTA5 19352,3191,146293
ZCTA5 19355,10090,187043
ZCTA5 19358,197,51203
ZCTA5 19362,2101,85902
ZCTA5 19363,5610,97852
ZCTA5 19365,2665,95857
ZCTA5 19367,24,N
ZCTA5 19372,698,170163
ZCTA5 19373,850,214833
ZCTA5 19374,377,66309
ZCTA5 19375,61,N
ZCTA5 19380,20999,136205
ZCTA5 19382,20429,143574
ZCTA5 19383,0,-
ZCTA5 19390,4860,117771
ZCTA5 19401,16282,75523
ZCTA5 19403,18879,107812
ZCTA5 19405,2034,81058
ZCTA5 19406,11438,114751
ZCTA5 19422,7366,176158
ZCTA5 19425,5402,220795
ZCTA5 19426,12839,161942
ZCTA5 19428,8479,122717
ZCTA5 19435,13,N
ZCTA5 19436,429,153100
ZCTA5 19437,407,308402
ZCTA5 19438,9456,138090
ZCTA5 19440,7224,105913
ZCTA5 19442,0,-
ZCTA5 19444,4466,154146
ZCTA5 19446,22647,118037
ZCTA5 19453,801,103429
ZCTA5 19454,10981,126560
ZCTA5 19456,276,94811
ZCTA5 19457,52,63333
ZCTA5 19460,16443,139548
ZCTA5 19462,6055,118282
ZCTA5 19464,18589,80703
ZCTA5 19465,6833,121033
ZCTA5 19468,10002,104015
ZCTA5 19472,5,N
ZCTA5 19473,6556,137029
ZCTA5 19474,197,101336
ZCTA5 19475,4472,113498
ZCTA5 19477,0,-
ZCTA5 19492,340,41913
ZCTA5 19501,411,79988
ZCTA5 19503,567,72353
ZCTA5 19504,1790,104053
ZCTA5 19505,1521,86020
ZCTA5 19506,2674,95612
ZCTA5 19507,1029,84983
ZCTA5 19508,6257,85636
ZCTA5 19510,3376,112856
ZCTA5 19511,50,77710
ZCTA5 19512,6899,91354
ZCTA5 19518,5504,107042
ZCTA5 19519,69,N
ZCTA5 19520,2375,101945
ZCTA5 19522,5392,92823
ZCTA5 19523,62,N
ZCTA5 19525,5692,129278
ZCTA5 19526,4793,80956
ZCTA5 19529,1212,97879
ZCTA5 19530,5012,87632
ZCTA5 19533,2565,98494
ZCTA5 19534,643,78630
ZCTA5 19535,6,N
ZCTA5 19536,261,61138
ZCTA5 19538,16,N
ZCTA5 19539,1887,78449
ZCTA5 19540,4369,112393
ZCTA5 19541,1727,91301
ZCTA5 19542,45,68731
ZCTA5 19543,1920,110229
ZCTA5 19544,62,69963
ZCTA5 19545,341,72399
ZCTA5 19547,1910,98193
ZCTA5 19549,139,60334
ZCTA5 19550,152,74775
ZCTA5 19551,1671,92253
ZCTA5 19554,171,84251
ZCTA5 19555,1371,84130
ZCTA5 19559,106,93688
ZCTA5 19560,3406,69469
ZCTA5 19562,1111,74216
ZCTA5 19564,48,95185
ZCTA5 19565,3777,91433
ZCTA5 19567,1991,81082
ZCTA5 19601,11780,46360
ZCTA5 19602,6120,41478
ZCTA5 19604,8835,52727
ZCTA5 19605,7158,87494
ZCTA5 19606,13604,88686
ZCTA5 19607,9190,86165
ZCTA5 19608,8611,115862
ZCTA5 19609,3928,93282
ZCTA5 19610,6555,119779
ZCTA5 19611,3960,72810
